,label,text
527138,4,这东西质量不错啊，大家可以去买
379117,5,好评  很满意 速度也挺快的 观察了好久 双十一上手 4799拿下
323473,5,看上去挺漂亮的嘞～用几天再来看看～
43928,5,工作站很稳定，机械设计绘图完全没压力，而且主机包装仔细，保护得很好，快递也很快送到。
60690,5,之前一直买戴尔的，因为服务好成了老客户。这次采购工作站，他们和我推荐了240不错！性能ok 价格合理
274123,3,刚开始几天电脑有些小问题 比如开机密码输不了
483077,1,只能说一句特别垃圾，散热差劲不说，电脑切屏卡顿，刚买回来的电脑三天出现马赛克情况，打电话给客服，客服告诉我，你先凑合用，要是还不行再退货我说行，结果时间过了告诉我不允许退货？？？要是你客服当时告诉我可以退货，还有这种情况？所有懂电脑的朋友都告诉我这是原机显卡问题，不是人为损坏的，我打12315投诉，你们客服给我回电话，告诉我国内没有一家机构可以检测质量问题，说我没有办法提交质检报告就没法证明质量问题。这就是你们戴尔的态度，真可笑
37762,1,什么玩意，开机不显示，黑屏，按你们推荐买的钱也不低，怎么开机就黑屏。
155582,4,东西不错
371447,5,电脑体积小巧可爱。自带wifi和蓝牙。放在办公桌上都没问题，实乃办公佳品。
9420,5,漂亮，实用
454773,5,电脑?已收到，就是远程协助服务送鼠标是个鸡肋。还得等七天～～～～
334135,5,很好
430575,5,主机很小巧，放在办公桌上不占地方。显示器接线有问题，卖家也及时解决了。
63689,5,东西不错  老板很用心  需要电脑的可以下单
234406,5,性价比不错
276939,5,鼠标和键盘要是无限的就好了！现在带的有线真的有点鸡肋了。
249176,4,"Great monitors for the money! As a graphic artist who has to match Pantone colors all day long (I'm in the sign industry), its very close to color-correct calibration right out of the box, as verified with my Eye One Pro colorimeter."
88050,4,2K屏幕显示确实清晰·给4分 屏幕休眠响应速度扣一分  很慢！！
341519,5,此用户未填写评价内容
258757,4,质量一般，橡胶有点异味，不过，是赠品将就了
264205,5,机器不是标配，但合乎我们的要求。货已收到，顺丰快递，马上上机。好用再买！
482020,5,老牌子，很信赖，物流速度很快，机器没有什么噪音，用来做财务系统，很适合，包装很仔细，很满意。
343541,5,公司需要购买一个，送货快主要的就是速度
471757,5,第一次就点亮了。挺好用，速度贼快的
220261,5,公司给每们员工办公用，都配置的DELL电脑，用起来快速便携，提高办公效率 ，办公商用首选吧。公司一直用这个品牌，耐用稳定性能好，运行速度快。
80085,5,外观大气，显示效果非常棒！
451959,4,电池使用正常，目前没有发现异常
282443,4,开机速度有点慢，但中国古诗词有点逗，学习啦
376648,4,还行吧，还没用呢，感觉不错的，做工等方面还算的过去吧，不过材质容易粘尘，个人觉得没那种钢琴烤漆好&hellip;&hellip;
244479,5,双十一买的，看上去还不错?
304502,5,东西不错老板人不错好用
294065,5,机器很好，开始怕是很长的那种，拆包后看到这尺寸刚刚好，上架到安装特别顺利，特别感谢阿浩工程师，在做raid时提供的技术支持，热情，专业！总之，推荐购买！
399966,4,不好用手感很差
350651,4,Very nice monitor. Make sure your display card will support 2560x resolution for all of your connected monitors. All of my display cards will run 2560x for one display and the rest of the monitors run at 1980x or 2048x. Eventually I will upgrade the display cards.
94339,5,质量不错，值得购买，挺好的，喜欢！
534603,5,没有噪音，运行稳定
110238,5,买戴尔就是看中屏幕升降和旋转非常方便 USB带充电功能也提供了便利
139597,5,电脑非常好用，小孩子也喜欢
204130,5,原装正品，服务不错！
177461,5,外观不错，目前使用没问题
523691,3,感觉速度不是特别快，还没正式玩，物流没的说，毕竟京东的，就是快，还有吧客服小姐姐非常耐心，每次找她都会回答我，非常好，加油吧
393625,1,什么玩意，开机不显示，黑屏，按你们推荐买的钱也不低，怎么开机就黑屏。
494910,5,"物流很快，第二天就收到了 机器大小合适，hp的噪音不大，运行流畅，看了下 内存4扩展，后面加内存没压力，看图质量很优秀,性价比很高"
511217,2,机器内部接线太&ldquo;抠门&rdquo;，想加一块硬盘竟然找不到SATA的电源接口，真是&ldquo;省&rdquo;出了新高度，性能也是一般，双十一优惠期入手的，唯一令人安慰的是三年质保期。
505347,5,性价比超高！办公用。
373484,4,对于这个价位来讲，可以了。
515118,5,还不错，用过来办公过度的！
486908,2,此用户未填写评价内容
138289,5,非常满意的一次购物，东西比较好用，好评
293999,1,貌似这个赠品我并没有收到
64577,5,速度快
333333,5,挺好的
328880,5,在这里已经买了多台机器，东西都还不错
878,1,电脑不错，但是，说好的赠品，一个没收到，只好差评，不是买别的东西评价，我都忘记这个事情了。
207526,5,不错，很满意，系统也很好
495151,4,指纹录不进去，还有散热有点慢，其他还好暂时还没有了解
179815,5,服务器不错！产品质量不错！性能好！下次还会买！ 服务器不错！产品质量不错！性能好！下次还会买！
193328,5,电脑挺好用的，办公家里都方便。
182089,5,给公司购买的，很不错，用起来很通畅
272497,4,清洁起来干净
205692,3,客服真的是屁都不懂啊问接线的问题一直顾左右而言他一个简单的问题来来去去跟看不懂中文似的比正常人理解能力还不如最后还是问的主机卖家才解决的 服了
476866,5,在这家买过几次工作站了，每次都很好
436054,5,电脑用起来很不错，装财务软件用的
280268,5,价格实惠，质量又好，挺棒的
494034,5,公司买的第二台了 不愧是大品牌 机器已经接到，上架测试正常，运行稳定，机器很好性价比高 昨天下午下单的，今天上午就送到了 强大的物流跟配送 服务态度超好 戴尔服务器值得拥有 机品性能好，散热快，性价比高，噪音小，功能稳定，服务到位，非常满意，沟通过程很愉快，卖家送货速度超快，同城给带技术送货上门，服务态度也很好，拿到货之后打电话验证了一下正品~ 以后需要还来这家！公司指定采购型号，物美价廉，速度很快，送货上门，性能很强，服务很周到，是正品，，可扩展性强，戴尔原厂机器，单位一直用戴尔机器，下次还得来鑫智这样的**级经销商购买。
131417,4,服务很好，送货及时，送货小哥很帅，我很喜欢！！！！！
177256,1,垃圾京东卖的都是次品用了没一个月就坏了
386362,5,用了几天都挺好的 开机速度一般电脑倒是不卡  反应也算灵敏 性价比不错的=v=
24035,3,包装已经乱了，虽然是送的，也要要品质么
169575,4,总的说来还可以。不全是DELL原装的配件，固态硬盘、硬盘、显卡、内存条等都更换过。买家说非原装件，他们三包。但愿能正常使用，不要出现问题。噪声大dell上门维护，现在使用正常！
280626,5,"R730还是老机器,跑系统比较稳定,很不错"
339572,5,在京东 看了好几天，最终忍痛花了五千多大洋拿下，电脑用着还可以  挺满意的  哈哈哈哈。
355244,5,很好，需要的，赶紧下手，高大上物流很快
178708,5,服务很到位，基本上都达到了需求
3644,1,电脑刚开始觉得挺好的，但是吧，一运行画图软件就特别热，吃鸡更热，机身存在一点小瑕疵，之前收到货没有注意，时间已过没办法追究，就这样吧。
189538,4,大气漂亮&hellip;细节上还是有点小瑕疵的
341206,1,显示器居然是坏的
52354,5,性价比比较高，牌子的就是好，运行速度快，挺满意的一次购物
8338,5,东西不错，一看就是正品，比外面便宜多了，以后还会继续购买
319804,2,不敢恭维，用不到5次，开始闪黑屏，开机偶尔黑屏，噪音挺大，散热也不太行&hellip;客服态度还好，机真是不敢恭维，都不知道是不是全新的&macr;\_(ツ)_/&macr;
270864,4,"I am happy with the size, design, and picture quality of this monitor. As one reviewer noted, It does have a slight yellow tinge to it, but I only noticed it because I use two monitors side-by-side and, when compared this way, this monitor does look yellower (less white) than my other monitor. Because of this, the contrast is not as crisp as it is on the ""white"" monitor. But, again, if I wasn't comparing side-by-side, I don't think I'd notice."
421608,1,买到问题机，过会就蓝屏重启！！是不是次品！！重装了还是一样！！
451492,5,性能强大，框架空间占用小，物流运输很快，安装上我们系统发给客户，客户非常满意。
310627,1,用了十天，只能说电脑垃圾，看个pdf都会卡顿，运行一些软件也是，发热严重，风扇声音大，开机联网就不能退货了，不然就退货了
224802,5,很好 我要求的一样 装好的系统而且是激活好的  很满意
470511,4,电脑很好，快递也很及时，只是系统和驱动没装好，搞的我折腾了一个多星期，还以为是电脑质量有问题，最后去附近的维修店给了70元弄好了，用了快一周，很流畅！打个4星吧
259861,5,笔记本收到了，包装完好，拆了很久，客服态度也不错，京东物流很快，会再来的
13515,3,一般般 刚拿的时候不错 用了两周现在有点卡了 也没玩什么  就下了个lol就这样吧
301339,5,性价比很高，配置满意，赠品挺多，很喜欢！
395169,5,Received this monitor for Christmas with my new pc yesterday and so far i love it
144959,5,大品牌没的说，值得信赖，大品牌没的说，值得信赖，大品牌没的说，值得信赖，送了很多东西，非常划算
428573,4,插了一次看了下，速度没测试，U盘不能要求太高。
380897,4,不错，感觉较好！
155419,1,超无语。散热不行就算了。关键适合工具栏怎么点都点不了
326130,5,产品很不错已经是第二次买了
275066,2,提醒其他买家，购买套机的时候要看好，主页显示的套机，显示器为下架的，但是在本网店其他链接中有这款显示器，分开购买主机跟显示器更便宜，套机的价格要高于分别购买主机+显示器的，算不算欺@购买套机的网友大家自己评论。另最重要最重要的，大家一般购买电脑看的是CPU，内存，显卡，固态等等吧，往往忽视&ldquo;网卡&rdquo;，这款机器的网卡是300兆的，不是千兆网卡，对于百兆以上的网络用户，这款网卡绝对坑，页面上没有介绍，请大家慎重。套机没有键盘鼠标。
181323,4,性能质量没问题。
59663,5,怎么才这么点分？
234868,5,还可以，满足使用功能
90045,3,如果我不找京东客服，从9月份到现在估计发票现在还欠着，因为我刷的信*用*卡，没发票无法报销，扣了我不少利息，以后不找这家了。
287697,5,非常好，买了好几次了，比较合适
43797,3,还行
146514,4,外观好看，系统流畅，静音效果可以，整体性价比高。
307439,3,线少了一根，发错了，这机子应该是自己组装的吧！
477913,3,好好好好好好好好好好好好
177309,3,买了两台，一台正常，另一台运行缓慢，经常卡。过几天重新安装了一次，依旧缓慢时而死机，联系京东客服说已经过了七天不能退货。联系厂家说，必须自己拉着到指定售后去检查维修，无奈工作忙没时间，只能凑合用吧！自认倒霉。
17323,4,刚收到货，办公用够了外观感觉还可以，装的W7系统不太好用，
172599,5,手感不错   不说了  玩游戏去
43056,1,经历了一次换货，第一次到货当天第二次开机就无法开机，显示硬盘未安装，如图1，第二次到货外观不良，磕破一个小洞，如图2，将就接受了，着急用不想再换货，而且怕碰到换来的还是有问题，换货过程很不愉快，速度慢且催促客服无效果，部分客服态度也很牛气，售后专员电话承诺的发货日期也做不到，1~7天完成换货真的要拖到第7天才完成，还是反复催促的结果，所有网购第一次差评，实在是挑战了我的容忍度，一星给物流
155115,4,音质真不敢恭维
146618,1,开机后什么软件都没运转，笔记本电脑风扇就使劲转噪音特别大&hellip;
122162,5,还不错，体积小声音也小。
143282,5,还送了键盘和鼠标。机箱挺小。声音也很小。挺好的。我已经用了十天了。我直接断电了两次，主机也没有出现任何问题。运行速度还可以，没出现什么问题。
272237,5,做工好。非常喜欢。
475509,3,系统开机已经装好了的，没有自己释放，是不是有问题，减价又快亏了200。
423855,4,键盘应该是驱动问题，无法识别，其他都还不错
384848,5,好
252644,1,真它妈垃圾，键盘tab键是坏的，经常按下去不自动弹起，送的什么东西啊
515401,1,真的垃圾LOL 都卡 基本没怎么用这几天几天特别卡 电脑还有蓝屏的现象 真的不想说啥 客服一直没人理 一颗星不
423530,5,包装没有损坏。安装调试很方便，运行速度也很给力，性价比不错。满意！
136415,5,东西应该是正品吧，还没开机看；但是送的E卡没有收到；补拍的东西都到了，发票还没到，这是影响我报销的节奏啊，问了也没有人回复！！！
3364,5,物流很快，商家客服态度很好，很有耐心。正品大品牌，设备质量好，运行速度快，系统稳定，收到之后连续使用，都没有任何问题。占空间小，性价比高，后续还有客服跟进。
117463,1,打开页面 都卡      两台  一样卡  动不动就死机    差评      提醒大家  一定要货比三家    售后起来太麻烦
26824,5,东西不错，快递迅速，很好
31688,2,I not happy pay shipping to send it back
335086,4,性能不错，放在恶劣环境，运行良好。
71835,4,左下，又下两个角区域略微有线泛白，可能是整块屏幕的亮度不均匀所示。这个价位不能挑剔太多，综合来讲还是比较满意的。
383803,5,很好用，特意挑的这个系列的cpu，方便装win7。就是那个显卡没有挑好，有些弱鸡。售后很好，一条线有问题，专门重新发了一次
109541,1,不想说什么了，三天之内蓝屏死机十多次，客服只会让你卸载更新，重置系统问题到现在还没解决，真心受不了
26517,5,很好 是正品 支持京东
299002,4,电脑很好，快递也很及时，只是系统和驱动没装好，搞的我折腾了一个多星期，还以为是电脑质量有问题，最后去附近的维修店给了70元弄好了，用了快一周，很流畅！打个4星吧
171270,4,还不错，硬盘加速器还是有效果的~
416050,5,物流给发的顺丰，还是不错的!
377493,5,运行挺流畅的  商用挺好的
43101,4,速度快，性能不错！就是卖家装系统后，少了不少螺丝！都没法安装到机柜上了。自己配的螺丝。
187901,5,第一次用dell服务器，大品牌，应该不错吧！
375782,1,现在黑屏了。我感觉还没到几个月，惊了。
533041,3,刚买的，机器声音有时候比较大，时不时的就响一下。笔记本大小和重量比较合适，但是电源和笔记本看起来并不配套，笔记本轻薄，电源还是传统的黑色的，厚重的，先用两天试试，不行的话考虑换其他牌子了。
20685,5,比较便宜一些，服务很好，发货很快，Dell的服务器不错，以后还会继续购买的。
146813,5,给妹妹买的电脑，很喜欢，运行流畅。外观也很赞。商家服务态度也很好。
253863,3,客观评价，这款很轻便，外观也可以，物流也不错。就是有时候电脑会有滋啦滋啦的响声，不是正常的风扇声音，放视频的时候声音卡顿。容易发热。 不知道用一段时间会不会坏掉???
495333,5,小巧，好看，运行静音，速度还行！
430408,1,惠普是我见过中最垃圾的，比美帝良心企业联想还垃圾。ppt一直都是英文，客服咨询很久都解决不了，让我恢复出厂，大概一个半小时，说他们售后到9点，结果打了无数个电话都打不通。本来天气还能更新，现在好了叫老子恢复出厂重启后也没办法更新了，一直都是错误。弄了一个下午，想吐血，惠普，垃圾垃圾垃圾。。
174981,4,贴膜不错，不过手残怎么贴也贴不好
188191,1,开机慢，电脑包都没有送，还几天才到
420534,4,商家服务好
280147,5,物流很快，质量也不错，兼容性也好，很值得一买！
361671,4,蓄电能力一般，可以再薄一点。
423053,4,机箱小巧 外观精致 我的最爱配送人员很体贴
67605,5,联想品牌值得信赖！开机速度快，运行稳定。
54091,5,不错，发货速度很快
274643,5,服务器没问题。。满意。轻便。噪音小。运行速度快。不过赠品插排内部短路。导致我服务器整个机柜跳闸。恢复数据搞半天。赠品插排。各位慎用。切记。
168289,5,方便好用
91101,5,这套坐垫非常舒服，是喜欢的款，颜色也是很配车的颜色，质量杠杠滴
133827,5,目前为止，用的不错，蛮好的。
444832,1,超级差评！！ 物流又慢电脑没用两天就吱吱吱嗡嗡嗡的噪音 客服服务又慢又差
157361,5,声音略大?????
529962,5,东西收到啦，但是接口和我原来的连线不一样，没法连接。联系客服人员很爽快的答应送我一根连线。一向信任戴尔的品质，这客服也值五星好评。
429941,5,听同事介绍说戴尔的显示器很好，就上京东买了一台显示器！上午下单，下午就送到了，配送师傅很有专业！显示效果很好，很清晰，很喜欢！工欲善其事必先利其器，有这个显示器才能更好工作。
432966,5,正品，送货快，物流给力
168726,5,京豆货品很超值！！！！！！
517325,5,虽然手感很轻，但是点起来很清脆，还不错，对得起这个价格
100135,1,电脑不错，但是，说好的赠品，一个没收到，只好差评，不是买别的东西评价，我都忘记这个事情了。
144826,1,这个主机特别让人生气！我之前打游戏，旧电脑是一台游戏主机，现在不想打了，就只看看视频，听歌这些初级要求，于是买了这个主机，结果&hellip;&hellip;&hellip;我把视频音乐资料从旧电脑转移过来，移动硬盘在旧电脑上都好好的，一来这台主机上就死机，根本拷贝不了，联系客服，答复说会与他们技术人员询问，就再没答复我，最后我是通过显示屏USB口拷贝的资料！后来听歌，如果重复播放同一首，第三遍或者第四遍准卡死，后来测播放视频，只要一快进或者快退，声音和画面就再也不同步了！！！这什么主机，还不能退货，请问这样的主机我留着有什么用？？！！！气死人了！！！
309256,5,3D  扫描行业，图形功能很强大，链接屏幕1拖4 完全无压力，扫面运行功能很不错，下个项目仍然会回购这台。
206810,1,很垃圾的电脑，经常死机，配置这么高有什么用，真的很垃圾，亲身体验，绝对没有说错。
515426,5,帮公司买了3台，装了WIN10的系统，同事反应说很好用，以后换电脑还选它?，卖家发货也很超快，??
193103,4,客服的态度非常的客气，
130763,1,刚装好看起来蛮高档的，可是才多久，那些粘贴的东西就不粘了，很无语?
409525,1,非常差的服务，买了不即刻发货，发票居然只给开普票，专票要加钱！
245904,1,发一个坏的鼠标，差评。
359063,3,还可以，就是启动时声音大
359456,1,貌似这个赠品我并没有收到
357665,4,It's almost perfect but it doesn't have a remote!
190878,5,真心喜欢这款宝贝，超@级喜欢！！！！
298859,4,电脑不错，显示比高色域的差一些，但也还不错，外观不错，但是有一点小瑕疵:1.触摸板左边和下边缝隙有点大，右边正常。2.D面右下方也有点瑕疵
132142,1,太垃圾了这电脑，玩游戏什么的就卡，开机速度慢，运行速度慢，失望
439565,5,用了有一个月了，感觉还是挺不错的，就是风扇声音太大了一连网就响
452573,5,试用了几天才评价，目前没有什么问题。显示器简单好用，很喜欢。配置高所以速度也快，符合使用要求。各种赠品很多，还不错。
473041,1,真的很差，运行非常慢
372713,1,十几年网购，体验最差的一次，人生给出的第一个差评:1) 发货配置搞错，发货前就跟客服提醒，结果8G内存只配4G，直到刚才才收到补发的内存！2) 产品详细规格，硬盘是7200转，收到的是5400转，客服硬说没问题，瞎扯说他们家还有固态硬盘的配置，问我是不是因为硬盘参数写了7200转也要求固态盘是7200转的，简直是胡搅蛮缠！3)1T硬盘只给分了一个128G的分区，一开始以为配置搞错成固态盘了，因为速度实在太慢于是用工具软件检查，发现配的是5400转的1T硬盘，只给分了128G的1个分区，这不是坑人么！4) 键盘回车键总卡死，都懒得跟客服说了，骗人*！家里笔记本坏了，本想着买个靠谱的品牌机存照片，能用个大几年的，这么一番折腾，太窝心了！打死不改的差评！
133290,5,电脑好用，做研发，反应很快的
253418,2,极不满意，被@了。硬盘和内存的减配导致性能大幅度下降。不开心。
206176,5,非常满意，儿子用的，她特别喜欢。
143586,5,很好的电脑，玩游戏不错。值得。
227554,2,这就是京东物流？
314434,5,服务器很高端大气，已经在使用了，同事评价很好。
231938,4,故障太多，不过客服的态度非常好，值得点赞，有很多兼容性问题，不建议小白购买
310379,1,这种店根本就不配开出来，店家态度恶劣，不给开专用发票还要我加200元钱 ，我的商品本来就是含税的，为什么还要给你加钱，分明就是欺诈消费者
419314,5,很好的服务器，建自己的网站
1009,4,机器发热比较厉害
61119,3,ads的屏幕真的非常差劲，大家最好不要买
532443,5,真不错，运行稳定，速度快。
94876,4,整体还算满意，性价比一般吧。客服那边也还凑合，售后客服直接打电话的话，解决问题的态度，速度都还行。不过使用期间有点问题，就是有两次强行重启，等了一个多小时，并且是按了电源键断掉电源再按电源键才开机成功，否则就是一直都像图中那样。附图：电脑整体外观和所有接口（还有一个USB在另一侧，不想拍）
97799,4,电脑很好，快递也很及时，只是系统和驱动没装好，搞的我折腾了一个多星期，还以为是电脑质量有问题，最后去附近的维修店给了70元弄好了，用了快一周，很流畅！打个4星吧
416053,5,机箱比想象的要小巧，屏幕也不错
88186,1,东西太差了，新机到了，就开不了机，键盘质量也很差，开关键还是歪的，直接申请退货了
391203,5,机器很不错 公司都要有1台
207047,1,购买第八天（过7天不能无理由退货）就降价，送点东西还不保价，服了真是，打印机也一般，佩服这营销
181452,2,买了10台，一周不到，已坏一台，艰难维修道路中。
464917,4,22号下单，26号收到货，有些慢，但显示器看起来很漂亮，非常满意，质量到底怎样，还需要时间来检验。
167601,2,有问题，又把地址送错
31287,5,公司需要 从网上挑选了很久 因为一直在用戴尔 很放心 所以就继续选择了戴尔 用起来很棒 还很贴心的给安了软件。非常愉快的一次购物
326475,3,此用户未填写评价内容
305742,5,送的公牛老牌子插排，很不错！
280257,2,昨个到的屋里用了下发现电脑开机慢，反应也慢！再观察一天
328757,3,运行solidworks软件卡，又另外加了一条8G的内存条才好一些。
175374,1,有史以来最差的京东购物体验，周一下单，周五晚上才送到。既然隔天送货做不到，就不要写预计第二天送达这样的混账话，第二天弄个机器人做个客服，人工服务一个没有，让人抓狂。本来为了快捷特地选了京东自营，不成想慢的像龟。一句话，真让老客户心寒。刘先生可能最近有点烦心事，也请百忙中抽点时间关心一下各种自家企业的各种服务细节，建口碑不容易，摔个杯子就一下子而已。
504258,2,才用了十五天，蓝屏五六次，也是服了。买之前好好考虑一下。实在是太坑了。收到货的第二天卖家就让我给好评，可是我都还没怎么用阿。现在用了几天，我可以帮你评价了。
200534,5,这次给上次买的服务器做升级，老板比较满意。店家人很好，东西也不错
94575,5,"物流速度非常快，公司里用的，DELL的机器从外观上看就很不错，性价比也还不错。东西很好用，很喜欢，值得购买，使用方便,在京东购物真正达到快捷，方便，实惠 ，比实体购物省时省力"
366049,4,清洁起来干净
115966,5,公司买的，买了几个了，价格便宜，能满足办公使用。
119567,5,电脑不错，性能很好，物流很快，好评！
363162,5,科技感超强，助力业务升级，很强大。性能稳定 ，好评 好评。
187783,1,说好的赠品根本就没有实物，让我们签收在发，也一直没发货，已经一个月了，发票也是催了好久才开过来的，
438403,5,东西还不错，购买过程中客服服务态度也还不错。用一段时间后再看看品质如何。
91301,5,商品还刚到手，感觉很不错。还送了鼠标键盘，服务态度很好。用一段时间在看看
165586,4,CPU、内存和硬盘配置都够，可惜显存只有4G，是短板，我自己配了DELL的2K显示屏，感觉机器还是相对吃力
238853,5,这个机子大小真好，很方便使用
347555,5,好多次都是来这家店买的，店家给的优惠也不错。主要还是为了升级配置
391075,5,卖家发货挺快的
292333,5,正品，比实体店买的便宜很多，比较有保障，评价挺好的
288092,1,3799买了个这配置，一开始我装了PS发现卡卡的，用鲁大师跑分凉了半截
300384,4,发货速度快，看起来还好，就是电脑价格变化太大，不到十天降200，还不可以补差价。系统流程，很轻很薄，手感很好
392076,4,发错货及时更换也不错
266576,2,好厚重，感觉回到旧社会
104972,4,迷你电脑非常非常迷你，比想象中还要小。不知道使用中散热效率如何。
108582,5,便宜方便又好用
414869,5,"移动办公使用,本次买价格贵了近400,各方面都还挺不错的"
488865,1,卖家的客服真心不敢恭维，牛气到天了，也是领教了客服的风采了 。收到的包装首先是破损的，价格2049买的第二天就降价到1999，让客服补下差价跟你欠他钱一样牛气哄哄的，没有服务意识就别当客服，破成这个鸟样还要我自己掏运费？无法无天了你。我倒不信京东的平台还维护这样的商家？你们老板看到你们这么牛气哄哄的客服真心不知作何感想，真是服了你们这伟大的客服了。就一要求，包运费退货，投诉到底！！！！！客户要退货客服是直接说能退货，真不知道你们给京东发货不要钱的呢，无法无天了还！
91198,5,客服服务态度很好，还特地打电话来咨询要求，好评。
247603,4,就那样吧，感觉旧旧的
534151,5,刚刚试运行了一下，很快，声音也不大，客服态度很好。
15710,5,一直以来都是联想的忠实粉丝，按耐不住直接下单了这款，刚收到货拆开包装就被惊艳到了，首先从外观上不用多说，美观大气时尚超薄，从配置上来说这个价格性价比还是超高的，另外还赠送了正版的office软件，非常贴心，总之华为联想没有让我失望，想入手的朋友们可以考虑！
490701,1,一星都不想给，一卡一卡的，声音很大，往上喷的风扇声音。8999的一体机，不如3000的台式机，现在就是后悔，非常后悔。打死不会再买一体机，特别是戴尔的。
93940,5,第一次买戴尔服务器，今天货刚到特意拆开来看了一下，很不错的服务器是正品，客服很给力！
63956,4,感觉没有台式机的i5 8590快，刚开机时风扇声音有些大，256G的硬盘感觉不够用，装了一些软件，只剩下100G了，以后继续评价吧
355304,5,你好，有时间帮我收货吧，然后我给你发评语服务器收到了，感觉还可以吧， 买了三台，也给我做了虚拟化，感觉都还可以
314881,3,主机生音有点大，先用着看看吧，还会追评的
448075,5,??????????????????超多赠品
